Sample,p279,p318,148752,152985
Primer,KMT2C_FWD1_FWD2,KMT2C_FWD1_FWD2,KMT2C_FWD1_FWD2,KMT2C_FWD1_FWD2
Norm 2^(-Delta C1) Rep1,1.292354846,0.62890458,0.8551319860934300,0.3594027902853080
Norm 2^(-Delta C1) Rep2,0.739225494,0.575977316,0.7848761870362060,0.3451965245426990
Norm 2^(-Delta C1) Rep3,0.968419703,0.685498063,0.6753260882574950,0.258499004
Delta Delta Cq Expression,1,0.630126644,0.771778076,0.321032768
Delta Delta Cq St. Deviation,0.277913664,0.054770599,0.090615728,0.054619672
Oncoprotein Score,4.724488988,4.007506396,4.49681153,-0.00586357
,,,,
,,,,
,,,,
