Patient 9,Gene,log2FC,padj
RNAseq,SPINK2,-9.039974595,1.61E-57
,SCARA3,-8.42388315,1.21E-27
,HTR1F,-8.352371252,1.29E-13
,PDZRN4,-8.206449906,5.56E-26
,MECOM,-7.695326422,3.31E-50
,C1QTNF4,-7.63323603,1.98E-158
,MATN4,-7.576124493,4.52E-32
,COL5A1,-7.539448614,1E-300
,BCAM,-7.479032336,4.75E-31
,EFCC1,-7.421121172,4.99E-10
,MMRN1,-7.418150618,1.96E-260
,MRC2,-7.386117096,2.83E-19
,CLU,-7.185272826,8.01E-259
,SOCS2,-7.065757682,1E-300
,KLRF2,-6.990716304,6.03E-13
,HOXA7,-6.812120476,2.98E-32
,IGLL1,-6.80826353,1.52E-65
,VAT1L,-6.799799027,5.11E-16
,HOXA6,-6.776573774,1.45E-60
,IL12RB2,-6.729392733,6.36E-71
,HOXA4,-6.721980856,1.16E-15
,GIPC3,-6.652587753,5.61E-23
,NOG,-6.629884788,1.5E-49
,NCR2,-6.622782614,0.000000156
,AFAP1L2,-6.608546872,4.09E-11
,CCDC3,-6.413145867,2.29E-10
,GPR32,-6.313455234,0.00000108
,AADAT,-6.274373022,2.26E-16
,MDFI,-6.27267314,1.06E-81
,WT1,-6.269051438,1.45E-32
,MORN4,-6.230187352,0.00000173
,HOXA5,-6.174479787,6.96E-260
,COL2A1,-6.167415944,1.3E-15
,KIT,-6.160628046,4.55E-229
,LOX,-6.131795315,4.89E-09
,CALN1,-6.114584631,3.36E-12
,TRIM71,-6.108269909,3.77E-09
,TTC24,-6.01753373,2.76E-26
,MDGA1,-5.958320704,1.23E-79
,CAPN11,-5.929941674,3.14E-22
,GCSAML,-5.897113635,1.23E-60
,TBXA2R,-5.887804413,1.72E-16
,SVOPL,-5.887506772,2.49E-08
,RNASE10,-5.84096744,0.0000142
,NAT8L,-5.839719709,3.55E-08
,CRABP1,-5.822233613,4.09E-08
,FSTL1,-5.787218852,5.68E-08
,ACOT4,-5.76515167,0.000000072
,REG1A,-5.752347867,5.79E-13
,STXBP5L,-5.740865084,0.000000083
,CLEC2A,-5.737790548,6.08E-18
,CD69,-5.699774217,1E-300
,IGF2BP2,-5.681536996,7.79E-137
,ANKRD18B,-5.652436264,6.38E-68
,ROBO4,-5.612881987,0.000000212
,MYCN,-5.608204411,1.17E-47
,SH2D1A,-5.588826251,5.89E-59
,NPR3,-5.571852034,1.38E-39
,FER1L6,-5.484598469,2.22E-11
,HOXA3,-5.46307937,1.68E-85
,ALDH7A1,-5.452744905,1.85E-15
,GPC3,-5.425045935,4E-13
,SERPINE1,-5.417950384,1.25E-36
,METTL7B,-5.414500933,2.12E-19
,ACE,-5.387670874,0.000116913
,SLC9C1,-5.379276354,0.000121062
,ARMC9,-5.351205193,1.24E-10
,ZNF521,-5.332077432,6.09E-237
,PLCB4,-5.327208487,2E-18
,NEK10,-5.316769862,2.21E-10
,MAP1A,-5.265820313,1.08E-48
,DYTN,-5.254212154,7.42E-12
,SMO,-5.248029512,2E-25
,SERTM2,-5.239742475,3.85E-08
,BAALC,-5.2306241,6.14E-10
,HDAC9,-5.225249783,2.55E-184
,VANGL2,-5.16885075,1.49E-20
,ARHGAP22,-5.151374565,4.55E-89
,GOLGA8Q,-5.150829798,0.000000111
,MEGF10,-5.126616372,0.0000069
,HBB,-5.108125039,4.01E-11
,ALDH5A1,-5.094148659,2.09E-27
,PNMA8A,-5.093587346,4.63E-11
,EREG,-5.092057156,1E-300
,SHANK3,-5.061242114,1.61E-48
,MMP11,-5.060881955,3.78E-09
,ZNF648,-5.060087711,0.000000198
,NPW,-5.057994425,2.46E-36
,CAVIN2,-5.024593117,1.94E-58
,TTLL6,-5.024010543,1.11E-20
,EVPL,-5.019443608,1.16E-127
,CD34,-5.000397362,3.76E-100
,NCS1,-4.996880486,0.000532056
,HHLA3,-4.978286698,0.0000171
,KLHL31,-4.978155599,0.000600974
,FLT3,-4.927694837,8.54E-182
,SKIDA1,-4.894459359,1.16E-61
,CRACD,-4.889740556,1.96E-40
,RBPJL,-4.857130308,0.000000045
,C9orf43,-4.85391808,5.13E-17
,RHOBTB1,-4.849424344,5.91E-23
,FAM171A2,-4.848187854,2.42E-27
,AMN,-4.832064133,4.05E-99
,ITM2A,-4.818915643,2.66E-85
,AEBP1,-4.816049869,1.21E-72
,GATA2,-4.81302127,1E-300
,SMIM24,-4.806860606,1.87E-132
