PDX4,Gene,log2FC,padj
RNAseq,CHRDL1,-5.7762806,8.75E-44
,PROM1,-4.9258194,2.4E-17
,CXCL10,-4.8953127,4.62E-17
,BMPR1B,-4.8413499,6.54E-69
,TYRP1,-4.7014764,2.37E-20
,ABCA8,-4.6426435,2.48E-26
,THSD7A,-4.6160246,4.36E-47
,MYO1B,-4.5927948,1.14E-33
,FIGN,-4.5123395,4.68E-77
,NKAIN2,-4.5044451,7.46E-14
,SAGE1,-4.3742345,3.31E-25
,DYNC1I1,-4.2336159,9.81E-61
,GPC4,-4.1915491,1.28E-35
,RAB27B,-4.1132852,2.66E-13
,LRP4,-3.9655577,1.73E-19
,ADAMTS3,-3.8696366,3.77E-27
,COL1A2,-3.6941162,2.51E-34
,DACH1,-3.6660103,4.57E-35
,MEIS1,-3.6514559,3.27E-35
,STXBP5L,-3.5668392,1.09E-18
,SLC38A1,-3.4923819,3.59E-118
,ZNF521,-3.4859587,1.95E-215
,NCAM2,-3.4521174,5.45E-244
,WT1,-3.4164392,6.18E-23
,DOCK9,-3.4116445,8.35E-12
,LPAR3,-3.3506734,7.03E-14
,DLX5,-3.3465852,3.31E-36
,GPC5,-3.3318124,2.07E-10
,ALDH5A1,-3.3290009,1.99E-36
,CPED1,-3.3079963,2.17E-13
,ADGRA3,-3.2971796,0.00000111
,PALD1,-3.2914669,1.5E-09
,ADGRL2,-3.2876665,3.34E-206
,EBF3,-3.2874991,3.77E-10
,NDFIP2,-3.2857994,2.47E-44
,IL4I1,-3.2806981,1.3E-13
,BMP2,-3.279854,2.15E-22
,KIT,-3.1960622,1.03E-27
,OGDHL,-3.1753823,0.00000362
,MEF2C,-3.1370805,2.06E-207
,CCR7,-3.1340389,0.00000531
,SCD5,-3.1202647,0.0000152
,KLHL4,-3.1184667,9.05E-25
,BIRC3,-3.1115326,1.28E-15
,NAT8L,-3.0847581,4.67E-18
,TERT,-3.0625324,5.85E-10
,LIX1,-3.0587447,0.0000104
,TOX,-3.0001158,1.71E-09
,SLC9A7,-2.9708056,1.14E-16
,RHBDL3,-2.9360631,9.3E-41
,BCL2L10,-2.9219841,1.57E-36
,ABCA6,-2.9202881,9.4E-57
,REEP3,-2.9200565,3.41E-178
,MYO6,-2.8968805,0.00000744
,ADAMTS6,-2.8889088,0.00000246
,ETV5,-2.8788455,6.26E-23
,HTR7,-2.865184,0.000000115
,DENND11,-2.8605437,4.66E-15
,CYP7B1,-2.838988,2.39E-16
,GABRA4,-2.8359833,1.45E-19
,ANOS1,-2.8159703,1.6E-13
,SLC2A14,-2.806162,1.02E-20
,PLEKHA5,-2.8008145,6.11E-33
,WWC2,-2.7836326,6.87E-08
,TNFRSF4,-2.7657735,0.00011425
,CARMIL2,-2.7340161,4.88E-09
,KAZN,-2.7319444,1.58E-25
,SKIDA1,-2.6924262,1.16E-46
,NINL,-2.6887683,8.18E-15
,FZD6,-2.6855598,0.00000127
,GAMT,-2.6811498,0.00000626
,CHRFAM7A,-2.6653494,8.58E-08
,TLCD5,-2.6372989,0.00015598
,SPRED1,-2.6201679,4.52E-13
,STEAP1,-2.6179232,0.0000978
,SENP6,-2.6070132,1E-300
,HIC1,-2.6050621,1.45E-10
,ALDH3A1,-2.6011762,0.00020481
,GOLGA8N,-2.5801155,7.61E-50
,KRT18,-2.5792243,2.48E-19
,EREG,-2.5787733,1.41E-90
,CSGALNACT1,-2.5475108,0.00018267
,SPIB,-2.5469935,3.81E-09
,CDHR1,-2.5378502,0.00018645
,YES1,-2.5367215,3.62E-30
,JMJD1C,-2.5302524,1.95E-270
,PNMA8A,-2.5264163,0.00021632
,NPTX2,-2.5229162,0.00088771
,SAMD13,-2.5214422,3.45E-11
,CCDC102A,-2.5208842,0.000000187
,GPM6B,-2.5091676,3.1E-16
,RCOR2,-2.5071065,2.78E-09
,TTC28,-2.5065674,7.03E-36
,RXFP1,-2.4929844,1.87E-32
,HACD1,-2.480795,5.03E-27
,ATP6V1C2,-2.4755353,1.18E-10
,CTSV,-2.4654218,0.00054733
,ATL1,-2.4626081,0.00000577
,CHRNA7,-2.4609431,0.00019783
,C1orf198,-2.4536008,0.000000165
,IFNLR1,-2.4380267,0.0000874
,SPINK2,-2.4329243,0.0006834
,PBX3,-2.4312751,3.28E-122
,ZEB1,-2.4276319,0.00110868
,ONECUT2,-2.4219117,1.13E-30
