DESeq2_MV4;11_MEN1-WT+1uM SNDX5613 vs. MEN1-WT+DMSO,Gene,log2FC,padj
,TSPAN6,NA,NA
,TNMD,NA,NA
,DPM1,-0.38029801,1.54E-07
,SCYL3,0.139082265,0.330500569
,C1orf112,-0.286536085,0.010286159
,FGR,3.083568795,4.17E-110
,CFH,1.381564032,1.91E-06
,FUCA2,-0.148631449,0.016095485
,GCLC,0.8842953,2.37E-16
,NFYA,-0.572007071,1.64E-20
,STPG1,0.129618159,0.680199069
,NIPAL3,0.998128255,6.51E-44
,LAS1L,-0.214506101,0.000298428
,ENPP4,NA,NA
,SEMA3F,-1.094103009,1.28E-07
,CFTR,0,NA
,ANKIB1,0.221632844,0.003428734
,CYP51A1,-1.766979812,8.63E-69
,KRIT1,0.261089329,0.00201126
,RAD52,0.514052257,1.27E-07
,MYH16,0.140368544,NA
,BAD,-0.493419513,0.02450814
,LAP3,0.207644729,0.001151783
,CD99,-0.100868946,NA
,CD99,0.005634957,0.990966621
,HS3ST1,-0.009920073,NA
,AOC1,2.460829505,1.94E-30
,WNT16,-0.015513368,NA
,HECW1,-0.576734219,0.145755691
,MAD1L1,-0.384311567,1.26E-06
,LASP1,-0.012952369,0.863032547
,SNX11,-0.026118438,0.808601189
,TMEM176A,0.725149213,0.055476195
,M6PR,0.034926717,0.604203011
,KLHL13,0.197243544,0.513748004
,CYP26B1,0.056921126,NA
,ICA1,0.061301823,0.783525232
,DBNDD1,-2.951926639,2.13E-37
,ALS2,0.200101269,0.045984661
,CASP10,0.438855348,9.62E-05
,CFLAR,0.834494925,1.46E-51
,TFPI,0.01191074,NA
,NDUFAF7,-0.033464697,0.82625149
,RBM5,0.495272168,1.44E-16
,MTMR7,0.301895642,0.459715445
,SLC7A2,0.062453892,NA
,ARF5,0.604207932,3.11E-16
,SARM1,0.401010099,0.291715864
,POLDIP2,-0.229186124,5.40E-05
,PLXND1,-0.063594874,0.407914377
,AK2,-0.262835353,2.70E-09
,CD38,3.031988782,3.74E-28
,FKBP4,-0.777477944,7.68E-35
,KDM1A,-0.280051978,1.17E-09
,RBM6,0.376613794,8.30E-08
,CAMKK1,-0.356385391,0.001315618
,RECQL,-0.05899778,0.529387372
,VPS50,0.130880829,0.333495782
,HSPB6,-0.198862308,0.664993061
,ARHGAP33,1.108383859,3.91E-11
,NDUFAB1,-0.634970193,2.97E-21
,PDK4,2.174212329,3.72E-11
,SLC22A16,0.500947554,2.72E-05
,ZMYND10,0.202838881,0.573103181
,ABCB5,0.01191074,NA
,ARX,-0.437250788,0.080785839
,SLC25A13,-0.176664216,0.051877391
,ST7,0.01563023,0.934893221
,CDC27,-0.420209111,7.63E-12
,SLC4A1,-0.0238751,NA
,CALCR,0,NA
,HCCS,-0.125025779,0.130864854
,DVL2,-0.136726357,0.07375927
,PRSS22,0,NA
,UPF1,-0.021765557,0.853099055
,SKAP2,-0.009775193,0.917044624
,SLC25A5,-0.187225682,0.000123612
,MCUB,0.273748566,0.159069019
,HOXA11,-1.849274857,3.07E-08
,POLR2J,-0.44195348,1.05E-05
,DHX33,-0.270213022,2.13E-05
,MEOX1,NA,NA
,THSD7A,-0.088623454,0.56175329
,LIG3,-0.217456157,0.000791825
,RPAP3,-0.006860949,0.964378656
,ACSM3,2.639607963,4.01E-292
,REXO5,-0.026554,0.824352285
,CIAPIN1,-0.158786696,0.038833707
,SPPL2B,0.388227897,8.54E-05
,FAM214B,0.564428358,5.36E-07
,COPZ2,0.460998988,0.012119648
,PRKAR2B,1.462132609,5.98E-40
,MSL3,0.603232555,8.54E-22
,CREBBP,0.541625821,2.51E-09
,TSPOAP1,1.493468247,1.20E-37
,MPO,0.2233644,0.071293356
,PON1,NA,NA
,GCFC2,0.035881741,0.849778604
,WDR54,0.206969914,0.06015645
,CROT,0.440967324,0.018570811
,ABCB4,-0.097854314,0.839877381
,KMT2E,0.188873445,0.068597323
,RHBDD2,0.220814227,0.030214856
,SOX8,0,NA
,IBTK,-0.124695075,0.158236174
,ZNF195,-0.549082215,5.52E-14
,MYCBP2,0.737678583,7.57E-09
,FBXL3,0.025804062,0.854492584
,ITGAL,-0.055367028,0.305979485
,PDK2,0.445137259,0.000197223
,ITGA3,-1.635237903,8.55E-13
,ZFX,0.04881169,0.682765357
,LAMP2,0.350972963,6.69E-11
,ITGA2B,-2.228636533,1.04E-40
,ASB4,-0.009920073,NA
,GDE1,0.439699998,1.14E-12
,REX1BD,0.137255702,0.251344228
,CRLF1,-0.06783918,0.897337654
,OSBPL7,0.909506083,9.98E-22
,TMEM98,0,NA
,YBX2,-0.57042282,0.076731606
,KRT33A,0,NA
,MAP3K14,1.291218276,3.56E-18
,ABCC8,0,NA
,CACNG3,0.01191074,NA
,TMEM132A,0.211984761,0.642504595
,AP2B1,0.068907859,0.325792336
,TAC1,NA,NA
,ZNF263,-0.051252173,0.601214221
,CX3CL1,0.014983484,NA
,SPATA20,0.356129269,1.92E-06
,CACNA1G,-0.48822959,0.168655341
,TNFRSF12A,-0.482706797,0.03866194
,DLX6,NA,NA
,MAP3K9,-0.247366862,0.59054087
,RALA,-0.264944967,0.0001694
,BAIAP2L1,0.532047264,0.186706126
,KDM7A,0.530858183,0.061202845
,ETV1,-0.196683268,0.685859167
,AGK,-0.069205678,0.58187195
,ALDH3B1,0.419149137,1.61E-08
,TTC22,0,NA
,PHTF2,-0.417798016,2.74E-06
,CCL26,0,NA
,FARP2,-0.197485735,0.020553552
,USH1C,-0.021426077,NA
,GGCT,0.026841332,0.755124791
,DBF4,-0.827494335,1.08E-32
,TBXA2R,-2.965695053,1.45E-24
,IFRD1,-0.086798543,0.473537486
,LGALS14,0,NA
,COX10,-0.253114203,0.007247497
,GTF2IRD1,-0.222899808,0.010885178
,PAF1,-0.205320304,4.99E-05
,VPS41,0.33650872,7.74E-07
,ARHGAP44,-1.116837853,1.81E-40
,ELAC2,-0.288217986,2.97E-06
,SCIN,0,NA
,ARSD,1.031518799,6.48E-41
,PNPLA4,0.393193235,0.293587963
,MYH13,-0.038334106,NA
,ADIPOR2,-0.515645117,1.19E-24
,CDKL3,-0.190058156,0.586777428
,UPP2,0,NA
,PRSS21,NA,NA
,MARK4,-0.042650318,0.7143234
,PROM1,0.002000552,NA
,CCDC124,-0.55640001,1.33E-08
,CEACAM21,0.136572696,0.541818347
,PAFAH1B1,-0.050628018,0.472807307
,NOS2,-4.160527338,1.07E-56
,DNAH9,0.050547187,NA
,KIAA0100,-0.233129664,0.000247291
,SLC13A2,0.01191074,NA
,AC005747.1,0.028468727,0.869483652
,TRAPPC6A,0.177007734,0.058438111
,MATK,-0.66738166,1.27E-16
,CEACAM7,NA,NA
,CD79B,-1.403887875,3.97E-05
,SCN4A,-1.365910541,7.02E-05
,ST7L,0.291424644,0.078474031
,TKTL1,-0.30363969,0.487155687
,PAX6,0,NA
