DESeq2_PDX3_CBAM44728_MLL-AF10_MEN1-WT_vehicle vs. MEN1-WT_VTP50469,Gene,log2FC,padj
,TSPAN6,-0.502392981,0.39247979
,TNMD,NA,NA
,DPM1,-0.302659372,0.011956831
,SCYL3,-0.129402584,0.495607187
,C1orf112,-0.523661572,0.000158196
,FGR,1.707884536,1.63E-58
,CFH,3.517904034,9.28E-17
,FUCA2,-0.038772241,0.840634619
,GCLC,-0.18812036,0.160377018
,NFYA,-0.441602026,0.000151837
,STPG1,-0.549297026,0.005949517
,NIPAL3,0.342953914,0.003601087
,LAS1L,-0.439284314,3.06E-06
,ENPP4,0.56746734,0.000542014
,SEMA3F,0.235513682,0.330377463
,CFTR,-0.031718829,NA
,ANKIB1,0.256439712,0.036986433
,CYP51A1,-1.053044067,2.06E-05
,KRIT1,0.174834605,0.216456242
,RAD52,-0.495381485,0.001678175
,MYH16,-0.036562422,0.967862279
,BAD,-0.073976651,0.879698429
,LAP3,0.508805727,2.17E-05
,CD99,0.120928105,NA
,CD99,0.166388625,0.854764423
,HS3ST1,-0.052959912,0.960030464
,AOC1,-0.210534644,0.220757604
,WNT16,-0.677871722,0.224977319
,HECW1,0.197145567,0.781663597
,MAD1L1,-0.236419193,0.252710208
,LASP1,0.21019995,0.043768293
,SNX11,0.046604652,0.798956665
,TMEM176A,1.973592706,3.95E-40
,M6PR,0.439445449,1.73E-06
,KLHL13,-1.640078602,3.81E-14
,CYP26B1,0.995857398,0.071989234
,ICA1,1.734124539,2.79E-06
,DBNDD1,-0.509940213,0.365405583
,ALS2,0.299567821,0.021838306
,CASP10,0.648028055,1.46E-08
,CFLAR,1.082829912,1.12E-25
,TFPI,0.163317857,0.854283639
,NDUFAF7,-0.019490429,0.938097272
,RBM5,0.375283995,0.000101478
,MTMR7,0.219734402,0.715915388
,SLC7A2,0.23445156,0.728602372
,ARF5,-0.028036799,0.886705294
,SARM1,-0.811052131,2.17E-05
,POLDIP2,-0.140555163,0.263687416
,PLXND1,0.750110406,5.81E-27
,AK2,-0.645148735,1.03E-21
,CD38,-1.011440723,9.19E-10
,FKBP4,0.15687927,0.820032129
,KDM1A,-0.30628485,0.000930116
,RBM6,0.07900819,0.599171906
,CAMKK1,-0.186011465,0.656445141
,RECQL,0.162413194,0.344264816
,VPS50,-0.046478613,0.870882415
,HSPB6,0.396069875,0.58561487
,ARHGAP33,0.478670932,0.003129017
,NDUFAB1,-0.447046969,3.58E-05
,PDK4,1.736132795,0.000126126
,SLC22A16,0.472995616,7.11E-06
,ZMYND10,0.083498259,0.828732729
,ABCB5,0,NA
,ARX,0.007729458,NA
,SLC25A13,-0.526189183,7.23E-06
,ST7,-0.291540204,0.058095088
,CDC27,-0.059431059,0.709461235
,SLC4A1,0.790984697,0.178607535
,CALCR,0.183424677,NA
,HCCS,0.261611075,0.049761034
,DVL2,-0.44828837,0.000287636
,PRSS22,0.041983092,NA
,UPF1,-0.134238258,0.27755224
,SKAP2,-0.726668675,3.92E-06
,SLC25A5,0.058559667,0.644838106
,MCUB,0.668522052,8.65E-06
,HOXA11,-1.932140836,4.14E-58
,POLR2J,-0.167637167,0.508627734
,DHX33,-0.243182762,0.05324793
,MEOX1,0.041983092,NA
,THSD7A,-0.01456207,0.985045766
,LIG3,-0.352237569,0.001191389
,RPAP3,-0.239801956,0.046672648
,ACSM3,3.33945542,4.56E-136
,REXO5,-0.473357913,0.004312122
,CIAPIN1,-0.154280915,0.246459301
,SPPL2B,-0.444374161,0.000445147
,FAM214B,0.625274517,1.34E-10
,COPZ2,0.610822081,0.342748743
,PRKAR2B,-0.752545896,6.25E-11
,MSL3,1.228204,5.47E-41
,CREBBP,0.099420211,0.4885129
,TSPOAP1,0.427331621,0.082289169
,MPO,4.086082334,2.76E-89
,PON1,-0.084468872,NA
,GCFC2,-0.2650805,0.070881373
,WDR54,-0.245321666,0.134954145
,CROT,0.44898438,0.02050457
,ABCB4,-0.701678154,0.089985129
,KMT2E,0.096957141,0.480991886
,RHBDD2,0.258509199,0.044008802
,SOX8,NA,NA
,IBTK,0.442142488,0.001003809
,ZNF195,-0.567691592,4.55E-09
,MYCBP2,0.317663302,0.006239507
,FBXL3,0.366688766,0.016595568
,ITGAL,-0.838504667,0.000135759
,PDK2,-0.133271714,0.619114703
,ITGA3,0.911229094,0.095184719
,ZFX,-0.044228092,0.790239676
,LAMP2,0.126408077,0.425340685
,ITGA2B,-0.548454913,0.07536235
,ASB4,-0.044795806,NA
,GDE1,0.656141638,1.02E-08
,REX1BD,-0.240729279,0.203556958
,CRLF1,-0.226599497,0.784288623
,OSBPL7,0.134457283,0.52445374
,TMEM98,-1.28514347,0.001734502
,YBX2,0.339769186,0.505501328
,KRT33A,NA,NA
,MAP3K14,0.106341341,0.708398161
,ABCC8,-0.05081525,0.961241263
,CACNG3,NA,NA
,TMEM132A,1.647659737,0.000297235
,AP2B1,0.066552742,0.716900434
,TAC1,NA,NA
,ZNF263,-0.029186919,0.893806778
,CX3CL1,0.009965069,NA
,SPATA20,0.341488429,0.010002211
,CACNA1G,0.942421822,0.086425066
,TNFRSF12A,0.539287209,0.312936027
,DLX6,-0.50519388,0.310999305
,MAP3K9,-0.731858907,0.027597452
,RALA,-0.792736241,1.48E-11
,BAIAP2L1,0.401748923,0.575889844
,KDM7A,1.36455251,5.45E-24
,ETV1,1.494704829,0.001077428
,AGK,-0.297318085,0.018631148
,ALDH3B1,0.795344757,1.23E-17
,TTC22,0.078834053,NA
,PHTF2,0.152011833,0.481288016
,CCL26,0,NA
,FARP2,0.208437503,0.178804317
,USH1C,0.115273886,NA
,GGCT,-0.357399853,0.002501678
,DBF4,-0.637306226,2.66E-05
,TBXA2R,0,NA
,IFRD1,0.257021081,0.040342552
,LGALS14,NA,NA
,COX10,0.010955047,0.969321974
,GTF2IRD1,-0.889517289,0.000247941
,PAF1,-0.336628386,0.001499564
,VPS41,0.039299207,0.846830139
,ARHGAP44,-0.749222544,1.54E-05
,ELAC2,-0.112275525,0.385692893
,SCIN,0.477263067,0.485822269
,ARSD,0.737631396,5.64E-10
,PNPLA4,0.399177728,0.122897126
,MYH13,-1.212501419,0.021006857
,ADIPOR2,-0.459005757,1.08E-06
,CDKL3,0.068443038,0.886514454
,UPP2,1.105877253,0.036723071
,PRSS21,NA,NA
,MARK4,0.032348252,0.896049458
,PROM1,-5.812115697,0
,CCDC124,-0.836075012,2.65E-09
,CEACAM21,-0.032177158,0.942654925
,PAFAH1B1,0.244823825,0.017559382
,NOS2,-0.404831765,0.573042007
,DNAH9,0.230125506,0.726046257
,KIAA0100,0.181161716,0.093181769
,SLC13A2,-1.05282863,0.051208998
,AC005747.1,0.058643167,0.773532206
,TRAPPC6A,0.127183328,0.673096847
,MATK,0.478999475,NA
,CEACAM7,NA,NA
,CD79B,-0.399316816,0.339145199
,SCN4A,-0.374560586,0.607182348
,ST7L,0.130811629,0.583046548
,TKTL1,-0.767908088,0.010231479
,PAX6,-0.84833035,0.131860012
,RPUSD1,-0.393624509,0.008543843
,RHBDF1,0.251348229,0.730544884
,LUC7L,-0.44930861,0.000716099
,CACNA2D2,-0.231643786,0.76492974
,BAIAP3,0.551487039,0.406497436
,TSR3,-0.407356418,0.041149074
,PIGQ,-0.423204021,0.003189987
,CRAMP1,0.08840135,0.599144013
,TEAD3,-0.08154667,0.929587216
,SELE,0,NA
,DNAJC11,-0.052901118,0.770495173
,FMO3,-0.031718829,NA
,MYLIP,-0.198451267,0.141207426
,NOX1,-0.260830113,0.7233831
,E2F2,-0.556797537,0.00026873
,PSMB1,-0.219472988,0.029263805
,SYN1,-0.445238902,0.475987897
,JARID2,-0.74763116,2.24E-20
,CDKL5,-0.186232049,0.705336003
,CAMK1G,0.041983092,NA
,CDK11A,-0.140587732,0.5105664
,NADK,0.94160242,1.41E-23
,TFAP2B,NA,NA
,TFAP2D,NA,NA
,DLEC1,1.997110585,6.43E-27
,CYTH3,0.087655933,0.741327132
,ADAM22,-2.362949216,3.74E-28
,SYPL1,-0.233878696,0.039058904
,CYB561,0.147907912,0.631139098
,SPAG9,0.204321764,0.10080929
,CELSR3,0.117754764,0.62656896
,AASS,1.095179589,0.008029979
,PLEKHG6,-0.031726707,0.971685034
,SS18L2,-0.473010791,0.000122229
,MPND,0.229819096,0.343982177
,MGST1,0.63105159,2.32E-10
,CRY1,-0.330750451,0.023270221
,PGLYRP1,0.039168774,0.967842303
,NFIX,0.155558397,0.530874032
,ST3GAL1,-0.049334304,0.810071335
,MMP25,1.481811538,7.10E-05
,IL32,-0.031718829,NA
,PKD1,-0.533038798,0.001158164
,MAPK8IP2,0.337267291,0.489835499
,MED24,-0.269914952,0.009185658
,RHOBTB2,-0.536627839,0.000570707
,HEATR5B,0.205106137,0.148567689
,SEC62,-0.12443694,0.303282291
,RPS20,0.118902909,0.247382536
,CSDE1,0.248533441,0.02900426
,UBE3C,-0.014520059,0.945405978
,REV3L,0.392670259,0.123920353
,TENM1,1.139025838,0.028599321
,PAX7,0.078834053,NA
,MASP2,0.565645896,0.054840634
,IYD,NA,NA
,FAM76A,0.246614332,0.148528828
,TRAF3IP3,0.754282851,6.84E-16
,POMT2,-0.504955239,0.000370925
,VTA1,-0.18764068,0.170007651
,MLXIPL,-0.052183664,0.944455368
,BAZ1B,-0.341916106,0.000740492
,RANBP9,-0.264457034,0.085025232
,ETV7,1.312707767,0.005026969
,SPRTN,-0.082387099,0.742673357
,EEF1AKNMT,-0.288338196,0.018462575
,DYRK4,0.299451563,0.080327904
,ZNF207,0.016284475,0.916535774
,UQCRC1,-0.240210372,0.03106597
,STARD3NL,0.158613391,0.345608222
,CD9,-0.597735199,7.69E-07
,HHATL,-0.48605391,0.482457692
,NCAPD2,-0.39320039,0.00031071
,IFFO1,1.217134109,2.03E-30
,GIPR,0.02017967,0.977682445
,PHF7,0.235974922,0.142840656
,SEMA3G,-1.347374262,1.08E-06
,NISCH,0.58212504,5.24E-07
,STAB1,2.768421523,1.04E-24
,FUZ,-0.160294843,0.571142683
,SLC6A13,-0.063579489,0.948254491
,IDS,0.920181894,1.22E-17
,PRSS3,-0.076764155,0.905245821
,ZNF200,-0.010586191,0.965373921
,CD4,0.75229509,7.67E-15
,LRRC23,0.010242833,0.977905464
,BTK,0.15380465,0.139196282
,HFE,1.20971761,0.001390473
,SCMH1,-0.464723466,0.000426227
,FYN,1.705089719,2.61E-33
,HIVEP2,0.512570719,0.344716191
,FMO1,-0.056089891,0.957159128
