,chrom,start,stop,Sample_sum_norm,Peak_type,index_x,p279_x,p318_x,difference_x,z_score_x,Feature_x,gene_279,index_y,p279_y,p318_y,difference_y,z_score_y,Feature_y,gene_NC,Sample
0,chr1,12337273,12347527,3.6852925623867567,ALL_specific,chr1:12337273-12347527,16.455250538044726,0.1806295854009436,16.274620952643783,2.010142689108746,chr1:12337273-12347527,VPS13D,,,,,,,,p279
1,chr1,12375611,12382513,5.377520525543421,Oncoprotein_Target,,,,,,,,,,,,,,,p279
2,chr1,12432973,12437401,14.987294942093763,Oncoprotein_Target,,,,,,,,,,,,,,,p279
3,chr1,12470612,12482527,4.407022607870373,ALL_specific,chr1:12470612-12482527,18.273777223443624,1.458933497876857,16.814843725566767,2.078995480574691,chr1:12470612-12482527,VPS13D,,,,,,,,p279
4,chr1,12612876,12621934,23.92053126642538,Oncoprotein_Target,,,,,,,,,,,,,,,p279
5,chr1,13744106,13760821,2.212236125186239,Oncoprotein_Target,,,,,,,,,,,,,,,p279
6,chr1,15880318,15888169,2.875159704085524,Oncoprotein_Target,,,,,,,,,,,,,,,p279
7,chr1,22050821,22063166,2.698267785232745,Oncoprotein_Target,,,,,,,,,,,,,,,p279
8,chr1,28415083,28419733,2.529409742305787,Oncoprotein_Target,,,,,,,,,,,,,,,p279
9,chr1,31910669,31949208,1.7849694609769438,Oncoprotein_Target,,,,,,,,,,,,,,,p279
10,chr1,39202327,39220083,3.6744269230079354,Oncoprotein_Target,,,,,,,,,,,,,,,p279
11,chr1,40371049,40416308,2.6635655770079074,Oncoprotein_Target,,,,,,,,,,,,,,,p279
12,chr1,44376690,44498460,30.313327238689684,Oncoprotein_Target,,,,,,,,,,,,,,,p279
13,chr1,50953572,50991720,4.576057886204192,Oncoprotein_Target,,,,,,,,,,,,,,,p279
14,chr1,52135087,52150432,1.962833140449012,Oncoprotein_Target,,,,,,,,,,,,,,,p279
15,chr1,52545530,52556858,3.0136003323963414,Oncoprotein_Target,,,,,,,,,,,,,,,p279
16,chr1,52630372,52639479,5.03738182789353,Oncoprotein_Target,,,,,,,,,,,,,,,p279
17,chr1,55199451,55220549,2.54904259924135,Oncoprotein_Target,,,,,,,,,,,,,,,p279
18,chr1,61037601,61048092,1.0122770288274834,Oncoprotein_Target,,,,,,,,,,,,,,,p279
19,chr1,61048732,61060867,1.06420863245074,Oncoprotein_Target,,,,,,,,,,,,,,,p279
20,chr1,61061286,61063881,1.0,Oncoprotein_Target,,,,,,,,,,,,,,,p279
21,chr1,61064351,61068215,1.9996865780910664,Oncoprotein_Target,,,,,,,,,,,,,,,p279
22,chr1,61071926,61074553,1.0,Oncoprotein_Target,,,,,,,,,,,,,,,p279
23,chr1,61074855,61096515,1.407004714917608,Oncoprotein_Target,,,,,,,,,,,,,,,p279
24,chr1,61101385,61106171,1.0,Oncoprotein_Target,,,,,,,,,,,,,,,p279
25,chr1,66329022,66353728,1.3740617173084475,Oncoprotein_Target,,,,,,,,,,,,,,,p279
26,chr1,66723994,66772311,1.2248068125474791,Oncoprotein_Target,,,,,,,,,,,,,,,p279
27,chr1,67260121,67270563,1.063895656937894,Oncoprotein_Target,,,,,,,,,,,,,,,p279
28,chr1,67292590,67325400,1.0451441803850956,Oncoprotein_Target,,,,,,,,,,,,,,,p279
29,chr1,68490032,68499984,2.4991677734565023,Oncoprotein_Target,,,,,,,,,,,,,,,p279
30,chr1,70217954,70241838,2.091819472403227,Oncoprotein_Target,,,,,,,,,,,,,,,p279
31,chr1,71584852,71595328,1.2247365663186407,Oncoprotein_Target,,,,,,,,,,,,,,,p279
32,chr1,71729576,71737672,1.0,Oncoprotein_Target,,,,,,,,,,,,,,,p279
33,chr1,71750830,71759282,1.1017292642361791,Oncoprotein_Target,,,,,,,,,,,,,,,p279
34,chr1,71759539,71765519,1.0,Oncoprotein_Target,,,,,,,,,,,,,,,p279
35,chr1,71771693,71779740,1.0,Oncoprotein_Target,,,,,,,,,,,,,,,p279
36,chr1,71780030,71799493,1.0,Oncoprotein_Target,,,,,,,,,,,,,,,p279
37,chr1,71823218,71836101,1.0,Oncoprotein_Target,,,,,,,,,,,,,,,p279
38,chr1,71845963,71887397,1.273549530090345,Oncoprotein_Target,,,,,,,,,,,,,,,p279
39,chr1,71896666,71913028,1.121977363622204,Oncoprotein_Target,,,,,,,,,,,,,,,p279
40,chr1,71925081,71934440,1.0,Oncoprotein_Target,,,,,,,,,,,,,,,p279
41,chr1,71935186,71942519,1.0486575927277495,Oncoprotein_Target,,,,,,,,,,,,,,,p279
42,chr1,71942818,71994161,1.1460064607115732,Oncoprotein_Target,,,,,,,,,,,,,,,p279
43,chr1,71994597,72026218,1.0,Oncoprotein_Target,,,,,,,,,,,,,,,p279
44,chr1,72027541,72134112,1.1294909931500754,Oncoprotein_Target,,,,,,,,,,,,,,,p279
45,chr1,72151047,72248199,1.0325343804975566,Oncoprotein_Target,,,,,,,,,,,,,,,p279
46,chr1,72248577,72300624,1.1728356220390066,Oncoprotein_Target,,,,,,,,,,,,,,,p279
47,chr1,77277107,77286107,3.0757285103192973,ALL_specific,chr1:77277107-77286107,15.876118799199729,-0.0347325114010682,15.910851310600798,1.963779306147847,chr1:77277107-77286107,AK5,,,,,,,,p279
48,chr1,77923720,77928831,4.091113112386649,Oncoprotein_Target,,,,,,,,,,,,,,,p279
49,chr1,81758218,81825208,1.1020390082218805,Oncoprotein_Target,,,,,,,,,,,,,,,p279
50,chr1,81827539,81842185,1.3317988122632214,Oncoprotein_Target,,,,,,,,,,,,,,,p279
51,chr1,81842631,81861302,1.0161581990144053,Oncoprotein_Target,,,,,,,,,,,,,,,p279
52,chr1,81861514,81871639,1.1410750474094165,Oncoprotein_Target,,,,,,,,,,,,,,,p279
53,chr1,81872027,81883997,1.0496321392277346,Oncoprotein_Target,,,,,,,,,,,,,,,p279
54,chr1,81890699,81901617,1.27483536418389,Oncoprotein_Target,,,,,,,,,,,,,,,p279
55,chr1,81902614,81957440,1.1795988905467008,Oncoprotein_Target,,,,,,,,,,,,,,,p279
56,chr1,81958288,81984556,1.0953481408210777,Oncoprotein_Target,,,,,,,,,,,,,,,p279
57,chr1,84140348,84192025,1.4086030633169924,Oncoprotein_Target,,,,,,,,,,,,,,,p279
58,chr1,84209141,84222145,1.0,Oncoprotein_Target,,,,,,,,,,,,,,,p279
59,chr1,84296937,84305805,2.035452321401997,Oncoprotein_Target,,,,,,,,,,,,,,,p279
60,chr1,84994063,85000298,1.7690659582506134,Oncoprotein_Target,,,,,,,,,,,,,,,p279
61,chr1,85047116,85051250,3.1830150576956884,Oncoprotein_Target,,,,,,,,,,,,,,,p279
62,chr1,85146811,85154302,1.0,Oncoprotein_Target,,,,,,,,,,,,,,,p279
63,chr1,85154492,85166898,1.1035855417915774,Oncoprotein_Target,,,,,,,,,,,,,,,p279
64,chr1,85167269,85186456,1.3788190907526372,Oncoprotein_Target,,,,,,,,,,,,,,,p279
65,chr1,85187963,85209242,1.0731793394637656,Oncoprotein_Target,,,,,,,,,,,,,,,p279
66,chr1,87325331,87337964,4.756402658219672,Oncoprotein_Target,,,,,,,,,,,,,,,p279
67,chr1,89623480,89645300,4.194538626097785,Oncoprotein_Target,,,,,,,,,,,,,,,p279
68,chr1,89664327,89678833,3.884224758867164,Oncoprotein_Target,,,,,,,,,,,,,,,p279
69,chr1,89690004,89704203,3.6317990641170015,Oncoprotein_Target,,,,,,,,,,,,,,,p279
70,chr1,89713658,89726137,2.712669039933126,Oncoprotein_Target,,,,,,,,,,,,,,,p279
71,chr1,89755865,89766308,5.780048596405483,Oncoprotein_Target,,,,,,,,,,,,,,,p279
72,chr1,89839906,89871919,1.9710500798130384,Oncoprotein_Target,,,,,,,,,,,,,,,p279
73,chr1,92284842,92326149,1.4473032579812153,Oncoprotein_Target,,,,,,,,,,,,,,,p279
74,chr1,92456072,92497610,2.091989298389987,Oncoprotein_Target,,,,,,,,,,,,,,,p279
75,chr1,92526258,92548363,1.4037455131117236,Oncoprotein_Target,,,,,,,,,,,,,,,p279
76,chr1,92559917,92590220,1.1114471999749913,Oncoprotein_Target,,,,,,,,,,,,,,,p279
77,chr1,92590635,92618545,1.0,Oncoprotein_Target,,,,,,,,,,,,,,,p279
78,chr1,93075732,93087774,3.030748514747105,Oncoprotein_Target,,,,,,,,,,,,,,,p279
79,chr1,100462606,100466705,1.0,Oncoprotein_Target,,,,,,,,,,,,,,,p279
80,chr1,100509879,100520920,1.0,Oncoprotein_Target,,,,,,,,,,,,,,,p279
81,chr1,100521193,100525554,1.065187928651245,Oncoprotein_Target,,,,,,,,,,,,,,,p279
82,chr1,100535001,100544204,1.4040971576252148,Oncoprotein_Target,,,,,,,,,,,,,,,p279
83,chr1,107777805,107798159,2.1342638733855206,Oncoprotein_Target,,,,,,,,,,,,,,,p279
84,chr1,107798865,107813380,1.204609256645878,Oncoprotein_Target,,,,,,,,,,,,,,,p279
85,chr1,107824761,107846371,3.205219542629003,Oncoprotein_Target,,,,,,,,,,,,,,,p279
86,chr1,107889275,107905622,2.933731094623554,Oncoprotein_Target,,,,,,,,,,,,,,,p279
87,chr1,107906373,107944697,2.0418854096838794,ALL_specific,chr1:107906373-107944697,24.083357479758728,8.186510942281926,15.896846537476804,1.961994361543944,chr1:107906373-107944697,VAV3,,,,,,,,p279
88,chr1,107946690,107968642,7.227446298510185,Oncoprotein_Target,,,,,,,,,,,,,,,p279
89,chr1,108653006,108666949,3.3004260385719077,Oncoprotein_Target,,,,,,,,,,,,,,,p279
90,chr1,110871166,110885331,2.193807959896975,Oncoprotein_Target,,,,,,,,,,,,,,,p279
91,chr1,112949899,112962013,4.01499120721463,Oncoprotein_Target,,,,,,,,,,,,,,,p279
92,chr1,113747714,113774902,2.0089215415997685,Oncoprotein_Target,,,,,,,,,,,,,,,p279
93,chr1,113799283,113817576,2.0387794249886024,NC_specific,,,,,,,,chr1:113799283-113817576,2.1606539068762403,17.98710676732802,-15.82645286045178,-2.0812223030165917,chr1:113799283-113817576,"AP4B1-AS1, PTPN22, RSBN1",p279
94,chr1,113924563,113950987,3.056995417961794,NC_specific,,,,,,,,chr1:113924563-113950987,3.9965826082273312,20.69802822136362,-16.70144561313629,-2.192742395382983,chr1:113924563-113950987,"HIPK1-AS1, HIPK1",p279
95,chr1,116543561,116563862,2.147942051660628,Oncoprotein_Target,,,,,,,,,,,,,,,p279
96,chr1,120547113,120562893,1.491528962067969,Oncoprotein_Target,,,,,,,,,,,,,,,p279
97,chr1,121047401,121055646,1.4163591348795377,Oncoprotein_Target,,,,,,,,,,,,,,,p279
98,chr1,121075218,121083095,1.4109893249559615,Oncoprotein_Target,,,,,,,,,,,,,,,p279
99,chr1,143786026,143801667,1.3528662880127664,Oncoprotein_Target,,,,,,,,,,,,,,,p279
100,chr1,143828995,143843157,1.0,Oncoprotein_Target,,,,,,,,,,,,,,,p279
101,chr1,148947659,148969163,1.8181879281097015,Oncoprotein_Target,,,,,,,,,,,,,,,p279
102,chr1,149691127,149710350,1.217908022643275,Oncoprotein_Target,,,,,,,,,,,,,,,p279
103,chr1,149739347,149752661,1.4812983311087329,Oncoprotein_Target,,,,,,,,,,,,,,,p279
104,chr1,150064167,150075716,2.3743996195105783,Oncoprotein_Target,,,,,,,,,,,,,,,p279
105,chr1,150609674,150622313,6.463647404751804,Oncoprotein_Target,,,,,,,,,,,,,,,p279
106,chr1,158245158,158249177,1.0,Oncoprotein_Target,,,,,,,,,,,,,,,p279
107,chr1,158327221,158334824,1.1872607489807143,Oncoprotein_Target,,,,,,,,,,,,,,,p279
108,chr1,158355334,158360159,1.0,Oncoprotein_Target,,,,,,,,,,,,,,,p279
109,chr1,158486455,158496954,1.2098766931950755,Oncoprotein_Target,,,,,,,,,,,,,,,p279
110,chr1,159007571,159017649,3.004122594285416,Oncoprotein_Target,,,,,,,,,,,,,,,p279
111,chr1,165823469,165841219,2.6267385006923805,Oncoprotein_Target,,,,,,,,,,,,,,,p279
112,chr1,165841223,165858128,2.711174450795882,Oncoprotein_Target,,,,,,,,,,,,,,,p279
113,chr1,165864623,165877044,2.150396111688944,Oncoprotein_Target,,,,,,,,,,,,,,,p279
114,chr1,167326446,167335462,1.985508300012746,Oncoprotein_Target,,,,,,,,,,,,,,,p279
115,chr1,167615373,167671136,6.174505036278067,Oncoprotein_Target,,,,,,,,,,,,,,,p279
116,chr1,167737986,167768863,3.246188714490592,ALL_specific,chr1:167737986-167768863,21.805879111624225,0.260749916861962,21.545129194762264,2.681882614011657,chr1:167737986-167768863,MPZL1,,,,,,,,p279
117,chr1,183803789,183808901,1.452493743474053,Oncoprotein_Target,,,,,,,,,,,,,,,p279
118,chr1,197119081,197160520,1.8778261939884893,Oncoprotein_Target,,,,,,,,,,,,,,,p279
119,chr1,197661907,197674302,1.0,Oncoprotein_Target,,,,,,,,,,,,,,,p279
120,chr1,198155031,198194641,2.4827136728600823,Oncoprotein_Target,,,,,,,,,,,,,,,p279
121,chr1,198591945,198631438,3.010881959191704,ALL_specific,chr1:198591945-198631438,22.15616575794997,-0.0076164362486155,22.163782194198586,2.7607315409635813,chr1:198591945-198631438,.,,,,,,,,p279
122,chr1,198632633,198778188,4.071452811148514,Oncoprotein_Target,,,,,,,,,,,,,,,p279
123,chr1,198827726,198956617,16.102631289672217,Oncoprotein_Target,,,,,,,,,,,,,,,p279
124,chr1,198964424,199025101,14.997814114799704,Oncoprotein_Target,,,,,,,,,,,,,,,p279
125,chr1,199025265,199047872,10.842171911427675,Oncoprotein_Target,,,,,,,,,,,,,,,p279
126,chr1,199056558,199085860,1.5161995407143785,Oncoprotein_Target,,,,,,,,,,,,,,,p279
127,chr1,199117899,199126973,1.0330558977411255,Oncoprotein_Target,,,,,,,,,,,,,,,p279
128,chr1,199144698,199156335,1.0,Oncoprotein_Target,,,,,,,,,,,,,,,p279
129,chr1,199171006,199180592,1.897070494301257,Oncoprotein_Target,,,,,,,,,,,,,,,p279
130,chr1,199180955,199185566,1.7972182545684543,Oncoprotein_Target,,,,,,,,,,,,,,,p279
131,chr1,200032103,200054350,1.128150671299084,NC_specific,,,,,,,,chr1:200032103-200054350,0.4857142791688288,28.008497521434485,-27.522783242265657,-3.571949901074802,chr1:200032103-200054350,NR5A2,p279
132,chr1,207878888,207928890,8.585220809465326,ALL_specific,chr1:207878888-207928890,25.14106440193612,0.0752175199015346,25.065846882034585,3.1306072011308004,chr1:207878888-207928890,CD34,,,,,,,,p279
133,chr1,207932740,207969238,7.845441756187887,ALL_specific,chr1:207932740-207969238,25.24758009041376,0.1163436707336712,25.13123641968009,3.1389412670480885,chr1:207932740-207969238,.,,,,,,,,p279
134,chr1,214434609,214447928,3.16483340604963,Oncoprotein_Target,,,,,,,,,,,,,,,p279
135,chr1,215562107,215575828,2.1337910617159688,Oncoprotein_Target,,,,,,,,,,,,,,,p279
136,chr1,223824989,223847839,2.0066057478892545,NC_specific,,,,,,,,chr1:223824989-223847839,0.3685508989351884,21.25457356793799,-20.8860226690028,-2.7260775782776703,chr1:223824989-223847839,TP53BP2,p279
137,chr1,230064538,230071683,7.541049821309863,Oncoprotein_Target,,,,,,,,,,,,,,,p279
138,chr1,230083594,230089528,6.284615320290351,Oncoprotein_Target,,,,,,,,,,,,,,,p279
139,chr1,230098742,230131557,8.533155772241152,Oncoprotein_Target,,,,,,,,,,,,,,,p279
140,chr1,230135837,230142115,2.9227573092240164,Oncoprotein_Target,,,,,,,,,,,,,,,p279
141,chr1,230142248,230155394,5.0992064776000765,Oncoprotein_Target,,,,,,,,,,,,,,,p279
142,chr1,230163427,230193611,4.23546539625827,ALL_specific,chr1:230163427-230193611,19.339517750386698,1.0789926649152313,18.260525085471468,2.263251313887946,chr1:230163427-230193611,GALNT2,,,,,,,,p279
143,chr1,230206131,230218012,4.411254513334815,ALL_specific,chr1:230206131-230218012,22.08273637387669,0.1189351790455581,21.96380119483113,2.735243444687859,chr1:230206131-230218012,GALNT2,,,,,,,,p279
144,chr1,230218432,230226492,4.648464842356223,Oncoprotein_Target,,,,,,,,,,,,,,,p279
145,chr1,230235808,230241477,1.0,Oncoprotein_Target,,,,,,,,,,,,,,,p279
146,chr1,231402741,231426853,1.2938639489174306,Oncoprotein_Target,,,,,,,,,,,,,,,p279
147,chr1,234470343,234481812,3.4598527611879177,Oncoprotein_Target,,,,,,,,,,,,,,,p279
148,chr1,234596533,234618416,25.412796167739685,Oncoprotein_Target,,,,,,,,,,,,,,,p279
149,chr1,235847151,235872158,2.797776298195745,NC_specific,,,,,,,,chr1:235847151-235872158,6.721298561124268,23.89495086393839,-17.173652302814123,-2.252926360892796,chr1:235847151-235872158,"MIR1537, LYST",p279
150,chr1,243705557,243718443,1.008284320344504,Oncoprotein_Target,,,,,,,,,,,,,,,p279
151,chr1,244830185,244881832,12.535859797538407,Oncoprotein_Target,,,,,,,,,,,,,,,p279
152,chr1,244899299,244927086,2.548699745781085,Oncoprotein_Target,,,,,,,,,,,,,,,p279
153,chr1,244952045,244987671,5.192807755616261,Oncoprotein_Target,,,,,,,,,,,,,,,p279
154,chr1,245035889,245046853,1.332207530376265,Oncoprotein_Target,,,,,,,,,,,,,,,p279
155,chr1,246065789,246084555,1.3982619088926496,Oncoprotein_Target,,,,,,,,,,,,,,,p279
156,chr1,246090851,246111198,1.3593893453192387,Oncoprotein_Target,,,,,,,,,,,,,,,p279
157,chr1,246111276,246121042,1.197945421520267,Oncoprotein_Target,,,,,,,,,,,,,,,p279
158,chr1,246156910,246164438,1.0,Oncoprotein_Target,,,,,,,,,,,,,,,p279
159,chr1,246180660,246221216,1.2736349941622684,Oncoprotein_Target,,,,,,,,,,,,,,,p279
160,chr1,246242161,246248976,1.0,Oncoprotein_Target,,,,,,,,,,,,,,,p279
161,chr1,246261199,246263755,1.0,Oncoprotein_Target,,,,,,,,,,,,,,,p279
162,chr1,246270025,246282124,1.2168873883359992,Oncoprotein_Target,,,,,,,,,,,,,,,p279
163,chr1,246563542,246574980,3.6931511049542487,Oncoprotein_Target,,,,,,,,,,,,,,,p279
164,chr1,246576059,246584283,2.057277022324441,Oncoprotein_Target,,,,,,,,,,,,,,,p279
165,chr1,246722891,246727507,2.6877290300622443,Oncoprotein_Target,,,,,,,,,,,,,,,p279
166,chr10,3772501,3789007,18.032595513498052,NC_specific,,,,,,,,chr10:3772501-3789007,7.84774117075938,25.48019558038513,-17.632454409625748,-2.311401877601419,chr10:3772501-3789007,KLF6,p279
167,chr10,3802597,3807988,4.869538999628814,Oncoprotein_Target,,,,,,,,,,,,,,,p279
168,chr10,5662410,5662662,1.0,Oncoprotein_Target,,,,,,,,,,,,,,,p279
169,chr10,11160177,11192298,10.95512253964082,Oncoprotein_Target,,,,,,,,,,,,,,,p279
170,chr10,11192563,11216389,2.460731630529029,Oncoprotein_Target,,,,,,,,,,,,,,,p279
171,chr10,18123782,18127886,1.0,Oncoprotein_Target,,,,,,,,,,,,,,,p279
172,chr10,21487706,21628387,5.686361307469501,Oncoprotein_Target,,,,,,,,,,,,,,,p279
173,chr10,21640219,21716530,1.237996120803517,Oncoprotein_Target,,,,,,,,,,,,,,,p279
174,chr10,21718163,21746038,1.0483702615623636,Oncoprotein_Target,,,,,,,,,,,,,,,p279
175,chr10,21949464,22013605,1.30742153952264,Oncoprotein_Target,,,,,,,,,,,,,,,p279
176,chr10,22218927,22263398,1.2742418090167194,Oncoprotein_Target,,,,,,,,,,,,,,,p279
177,chr10,22263916,22396652,1.412186696878202,Oncoprotein_Target,,,,,,,,,,,,,,,p279
178,chr10,22412552,22424577,1.2006118524119491,Oncoprotein_Target,,,,,,,,,,,,,,,p279
179,chr10,22427805,22446646,1.8025602442276285,Oncoprotein_Target,,,,,,,,,,,,,,,p279
180,chr10,22463373,22488712,1.1218089919009877,Oncoprotein_Target,,,,,,,,,,,,,,,p279
181,chr10,25933973,25941889,1.899795171861652,Oncoprotein_Target,,,,,,,,,,,,,,,p279
182,chr10,26435316,26453598,6.899785666689675,Oncoprotein_Target,,,,,,,,,,,,,,,p279
183,chr10,26464071,26492712,2.257941981294521,Oncoprotein_Target,,,,,,,,,,,,,,,p279
184,chr10,26751825,26782914,1.7934007720032232,Oncoprotein_Target,,,,,,,,,,,,,,,p279
185,chr10,32373083,32381209,2.6359209920939097,Oncoprotein_Target,,,,,,,,,,,,,,,p279
186,chr10,43135066,43146533,2.584583985620662,Oncoprotein_Target,,,,,,,,,,,,,,,p279
187,chr10,43383555,43412753,4.612676024372618,NC_specific,,,,,,,,chr10:43383555-43412753,6.613146573396239,21.777335450106587,-15.164188876710348,-1.9968150431722247,chr10:43383555-43412753,HNRNPF,p279
188,chr10,46781475,46788981,1.184733870282524,Oncoprotein_Target,,,,,,,,,,,,,,,p279
189,chr10,47550119,47558869,1.0150513339718985,Oncoprotein_Target,,,,,,,,,,,,,,,p279
190,chr10,52643587,52656741,1.0603372410608662,Oncoprotein_Target,,,,,,,,,,,,,,,p279
191,chr10,55542208,55544078,1.0,Oncoprotein_Target,,,,,,,,,,,,,,,p279
192,chr10,57470436,57472925,1.0,Oncoprotein_Target,,,,,,,,,,,,,,,p279
193,chr10,60776126,60796952,2.708815189515959,Oncoprotein_Target,,,,,,,,,,,,,,,p279
194,chr10,61894864,61907660,3.748293218758768,Oncoprotein_Target,,,,,,,,,,,,,,,p279
195,chr10,61955266,61971440,1.4745333784056571,Oncoprotein_Target,,,,,,,,,,,,,,,p279
196,chr10,61972658,61976337,4.104766909389171,Oncoprotein_Target,,,,,,,,,,,,,,,p279
197,chr10,62035364,62056549,1.897658547814086,Oncoprotein_Target,,,,,,,,,,,,,,,p279
198,chr10,62081335,62086424,1.034201566024528,Oncoprotein_Target,,,,,,,,,,,,,,,p279
199,chr10,62228630,62249302,1.5309735273394338,Oncoprotein_Target,,,,,,,,,,,,,,,p279
200,chr10,63149627,63283244,12.178094759869404,Oncoprotein_Target,,,,,,,,,,,,,,,p279
201,chr10,63284935,63297569,1.6254971115886945,Oncoprotein_Target,,,,,,,,,,,,,,,p279
202,chr10,63299845,63315403,1.9550211717154855,Oncoprotein_Target,,,,,,,,,,,,,,,p279
203,chr10,63316455,63335430,1.943135859808642,Oncoprotein_Target,,,,,,,,,,,,,,,p279
204,chr10,63337520,63637208,27.269136131451063,Oncoprotein_Target,,,,,,,,,,,,,,,p279
205,chr10,63697673,63704291,4.1177481265519,Oncoprotein_Target,,,,,,,,,,,,,,,p279
206,chr10,63706425,63722042,2.2099404667578426,Oncoprotein_Target,,,,,,,,,,,,,,,p279
207,chr10,69060475,69068864,3.798992019373134,Oncoprotein_Target,,,,,,,,,,,,,,,p279
208,chr10,69085120,69103445,2.908221600951899,NC_specific,,,,,,,,chr10:69085120-69103445,4.984551317153916,26.50603992142213,-21.52148860426821,-2.8070693574427787,chr10:69085120-69103445,SRGN,p279
209,chr10,80451439,80470671,2.8598283488234784,Oncoprotein_Target,,,,,,,,,,,,,,,p279
210,chr10,87857929,87885447,11.683604332910347,Oncoprotein_Target,,,,,,,,,,,,,,,p279
211,chr10,87912374,87934806,2.669496213913015,Oncoprotein_Target,,,,,,,,,,,,,,,p279
212,chr10,89704925,89714002,1.0,Oncoprotein_Target,,,,,,,,,,,,,,,p279
213,chr10,90452919,90456137,1.0,Oncoprotein_Target,,,,,,,,,,,,,,,p279
214,chr10,90458349,90462666,1.0,Oncoprotein_Target,,,,,,,,,,,,,,,p279
215,chr10,92589041,92620073,2.989342026888617,Oncoprotein_Target,,,,,,,,,,,,,,,p279
216,chr10,92685240,92701130,4.954666511004096,Oncoprotein_Target,,,,,,,,,,,,,,,p279
217,chr10,96040749,96050451,4.481453984900701,Oncoprotein_Target,,,,,,,,,,,,,,,p279
