,chrom,start,stop,ALL_sum_x,ALL_signal_x,peak_size_x,ALL_sum_norm_x,Sample_sum_x,AML_signal_x,AML_sum_norm_x,Difference_x,Feature,Peak_type,gene_279,gene_NC,ALL_sum_y,ALL_signal_y,peak_size_y,ALL_sum_norm_y,Sample_sum_y,AML_signal_y,AML_sum_norm_y,Difference_y,gene
0,chr1,12337273,12347527,5499,2423.494660031452,10254,1.2362487478088016,3153,1234.6692533717708,1.120311025294692,0.11593772251410961,chr1:12337273-12347527,ALL_specific,VPS13D,,5499,2423.494660031452,10254,1.2362487478088016,3153,1234.6692533717708,1.120311025294692,0.11593772251410961,VPS13D
1,chr1,12375611,12382513,1092,482.0627693679479,6902,1.0696990393172918,2097,821.4898269332709,1.1188771119868546,-0.049178072669562756,chr1:12375611-12382513,Oncoprotein_Target,,,1092,482.0627693679479,6902,1.0696990393172918,2097,821.4898269332709,1.1188771119868546,-0.049178072669562756,VPS13D
2,chr1,12432973,12437401,8230,3626.592117122904,4428,1.8187877409943325,2377,931.0449778828731,1.2100372578777943,0.6087504831165382,chr1:12432973-12437401,Oncoprotein_Target,,,8230,3626.592117122904,4428,1.8187877409943325,2377,931.0449778828731,1.2100372578777943,0.6087504831165382,VPS13D
3,chr1,12470612,12482527,9921,4371.534555768692,11915,1.366809446560528,15454,6047.661795625545,1.5074831553189716,-0.14067370875844354,chr1:12470612-12482527,ALL_specific,VPS13D,,9921,4371.534555768692,11915,1.366809446560528,15454,6047.661795625545,1.5074831553189716,-0.14067370875844354,VPS13D
4,chr1,12612876,12621934,33133,14597.202140538662,9058,2.611415559785677,12214,4779.9521917801485,1.5275946336697006,1.0838209261159764,chr1:12612876-12621934,Oncoprotein_Target,,,33133,14597.202140538662,9058,2.611415559785677,12214,4779.9521917801485,1.5275946336697006,1.0838209261159764,DHRS3
5,chr1,13744106,13760821,15833,6975.969622163662,16715,1.4172880420079963,8224,3218.7912907483164,1.1925092007626872,0.2247788412453091,chr1:13744106-13760821,Oncoprotein_Target,,,15833,6975.969622163662,16715,1.4172880420079963,8224,3218.7912907483164,1.1925092007626872,0.2247788412453091,PRDM2
6,chr1,15880318,15888169,4053,1786.4829709233452,7851,1.2274210891508528,3545,1388.0464647012138,1.1766713112598668,0.050749777890986,chr1:15880318-15888169,Oncoprotein_Target,,,4053,1786.4829709233452,7851,1.2274210891508528,3545,1388.0464647012138,1.1766713112598668,0.050749777890986,SPEN
7,chr1,22050821,22063166,19257,8484.356913661697,12345,1.6871897054403966,17265,6756.248861231722,1.5472052540487422,0.13998445139165439,chr1:22050821-22063166,Oncoprotein_Target,,,19257,8484.356913661697,12345,1.6871897054403966,17265,6756.248861231722,1.5472052540487422,0.13998445139165439,CDC42
8,chr1,28415083,28419733,2592,1142.863276741503,4650,1.2455619949981729,3233,1265.970725071657,1.2720367150691736,-0.026474720071000712,chr1:28415083-28419733,Oncoprotein_Target,,,2592,1142.863276741503,4650,1.2455619949981729,3233,1265.970725071657,1.2720367150691736,-0.026474720071000712,PHACTR4
9,chr1,31910669,31949208,39124,17236.43936698864,38539,1.447220721009591,28393,11110.283574685913,1.2882608156590964,0.15895990535049465,chr1:31910669-31949208,Oncoprotein_Target,,,39124,17236.43936698864,38539,1.447220721009591,28393,11110.283574685913,1.2882608156590964,0.15895990535049465,PTP4A2
